# This file contains the maximum values of wave functions at specific steps along the time evolution.
# The first row contains the corresponding N - the resolution of the saved simulation.
# The first column is the time step, and subsequent columns are max values for a given simulation.
,128,128.1,256,256
72,0.8780605792999268,0.8780605792999268,0.9923144578933716,0.9923144578933716
73,0.878204345703125,0.878204345703125,0.9923741221427916,0.9923741221427917
74,0.8783454895019531,0.8783454895019531,0.9924343824386596,0.9924343824386597
75,0.8784840703010559,0.8784840703010559,0.992495059967041,0.992495059967041
76,0.878620445728302,0.878620445728302,0.992555558681488,0.992555558681488
77,0.8787546753883362,0.8787546753883362,0.9926157593727112,0.9926157593727112
78,0.8788871765136719,0.8788871765136719,0.9926753044128418,0.9926753044128418
79,0.8790179491043091,0.8790179491043091,0.9927341341972352,0.9927341341972351
80,0.879147469997406,0.879147469997406,0.9927921891212464,0.9927921891212463
81,0.8792755603790283,0.8792755603790283,0.9928494691848756,0.9928494691848755
82,0.8794025778770447,0.8794025778770447,0.9929059743881226,0.9929059743881226
